source,title,label
GOSSIP_REAL,drake shoots his shot at vanessa hudgens squashes beef with ludacris at billboard awards,1
GOSSIP_REAL,nicolette robinson,1
LIAR,rob cornilles has been endorsed by  local mayors including independent democratic and republican,0
GOSSIP_REAL,gigi hadid wore the antiskinny jean trend thats getting all the buzz,1
GOSSIP_FAKE,elon musks pedo tweet inquiry answered thai rescue divers lawyer preps lawsuit,0
LIAR,in iraq and syria american leadership including our military power is stopping the islamic states advance,1
GOSSIP_FAKE,chris martin and dakota johnson ready to move in together,0
LIAR,says the states medicaid waiver proposal has languished in a file cabinet at the centers for medicare and medicaid services for more than two years,0
LIAR,says barack obamas comments indicate he believes in redistribution of wealth,1
GOSSIP_REAL,kenya moore shares ultrasound of babys heartbeat,1
POLITIFACT_FAKE,breaking supreme court sides with trumpthis changes everything,0
GOSSIP_REAL,khloe kardashians long and sometimes bumpy road to motherhood,1
LIAR,assault rifles already are banned,0
GOSSIP_FAKE,gwen stefani did order blake shelton to weight  report,0
LIAR,bills have my name on them either as a sponsor or a cosponsor you dont get that done unless you work with folks on the other side,1
LIAR,on campaign contributions from electric utilities,0
GOSSIP_REAL,katy perry  taylor swift call a truce finally,1
GOSSIP_REAL,shailene woodley reveals she almost quit acting before starring in big little lies,1
GOSSIP_FAKE,kim kardashian and kanye west are reportedly building a k pool,0
GOSSIP_FAKE,trouble in paradise george  amal clooney sleeping in separate bedrooms,0
LIAR,on public financing of his campaign,0
GOSSIP_REAL,kelly clarkson  reba mcentire soar on does he love you acm awards duet,1
GOSSIP_REAL,cloudlike blankets  throws to wrap up in this fall,1
GOSSIP_FAKE,oj simpson demanding to meet khloe kardashians baby per radar online,0
LIAR,gradinsurance debacle is a direct result of obamacare mizzou has to break the law to do the right thing,1
GOSSIP_REAL,rapper lil peep dies at and his ex bella thorne is speechless,1
GOSSIP_REAL,meghan markle appears close to tears as she attends moving anzac day dawn service with prince harry,1
LIAR,who are the most consistently misinformed media viewers fox viewers consistently every poll,0
GOSSIP_REAL,kendall jenner finds the most creative way to shade sofia richie on keeping up with the kardashians,1
GOSSIP_REAL,nickalive kel mitchell reveals that there has been talks for a good burger sequel,1
LIAR,the congressional district for miamidade and broward counties has a staggering dropout rate of almost  percent,0
GOSSIP_FAKE,are gwen stefani  blake shelton engaged in  the couple has been going strong for years,0
LIAR,hospitals have already begun layoffs a direct result of republican inaction on medicaid expansion,1
GOSSIP_FAKE,nathan zellner  news,0
GOSSIP_REAL,diagnosis and treatment,1
LIAR,says that as a us senator scott brown delivered for wall street saving big banks  billion in taxes,0
LIAR,says barack obama put in place a board that can tell people ultimately what treatments theyre going to receive,0
GOSSIP_FAKE,lopez lpez accent on peoples names,0
LIAR,when you add a dollar value to mandates government took almost  percent of the american peoples money,0
LIAR,betty sutton and her fellow democrats went on a spending spree and now their credit card is maxed out,0
GOSSIP_FAKE,parading patriots jennifer garner and her kids ride atop a truck during fourth of july parade,0
LIAR,says ted kennedy sent a letter to then soviet leader yuri andropov apologizing for ronald reagan and begging the soviets not to overreact,0
LIAR,the american conservative union gives rep tim ryan a dismal  percent rating for the billions he has contributed to our national debt,0
LIAR,on using gov scott walkers collectivebargaining limits to help balance the city of milwaukee budget,1
GOSSIP_REAL,luis fonsi daddy yankee dominate iheartradio nominations with  each,1
GOSSIP_REAL,camila cabello announces tour dates,1
LIAR,torture is illegal by our laws its illegal by international laws,1
POLITIFACT_FAKE,saudi arabia to behead  school girls for being with their male friends without parents or a guardian,0
LIAR,as state commerce secretary mary burke drafted sponsored and promoted budgets that raised taxes by billions created high structural deficits and raided funds to finance huge spending hikes,0
LIAR,says charlie bass supports paul ryan plan that forces seniors to pay  a year more for health care so millionaires can pay less in taxes,0
GOSSIP_REAL,matt damon apologizes for sexual misconduct comments i really wish id listened,1
GOSSIP_FAKE,kanye wests holiday photo with kim kardashian and their kids looks more somber than joyful,0
LIAR,farouk is on fire,1
LIAR,says employers are still allowed to pay people with disabilities below the minimum wage,1
LIAR,says charlie crist voted against minimum wage when he was in the senate,0
GOSSIP_FAKE,justin bieber still reeling from selena gomez split is he searching for a new love to replace her,0
LIAR,in the past four or five presidential elections people who poll high at the beginning are not the people who end up being the nominees,0
LIAR,not a single segment of the proposed beltline intersects the marta system at marta stations,0
LIAR,phil puckett voted no on sending the epa a message that theyve gone too far not once but twice,0
GOSSIP_REAL,ensa cosby daughter of bill cosby dies at,1
LIAR,governor scott cut taxes  times for florida families,1
GOSSIP_REAL,kourtney kardashian needs scott disick to be consistent before getting back together were not working on things right now,1
LIAR,says delta air lines has once again broken a promise they made to me and to the people of memphis,1
GOSSIP_REAL,jeopardy contestant docked for using gangster not gangsta,1
LIAR,more women were killed by their husbands or boyfriends since sept  than all the americans who were killed by  or in afghanistan and iraq,1
GOSSIP_REAL,terences secret affair is revealed on the arrangement and kyle west is gonna be pissed,1
GOSSIP_REAL,jenelle evans addresses fight with her exs girlfriend at teen mom  taping,1
LIAR,chris coons has marxist beliefs,0
GOSSIP_REAL,michelle williams is engaged to andrew youmans,1
GOSSIP_REAL,kristen bell net worth,1
LIAR,ive created over  jobs,0
GOSSIP_FAKE,caitlyn heads to the capitol jenner rep addresses reports of inaugural dance with trump,0
GOSSIP_FAKE,brad pitt did not apologize to jennifer aniston over angelina jolie despite late and wrong report,0
GOSSIP_REAL,kylie jenner and travis scott dine in nyc after she reveals they dont go on dates,1
GOSSIP_FAKE,how gwen stefanis instagram shuts down blake shelton breakup rumors  over and over again,0
GOSSIP_FAKE,bella hadid is she worried about being a rebound romance for the weeknd,0
GOSSIP_REAL,every hilarious clapback kelly ripa has had for her haters,1
GOSSIP_FAKE,kate middleton did not flirt with tennis player dominic thiem at wimbledon despite report,0
GOSSIP_FAKE,brad pitt can now visit kids without angelina jolies permission is happiest hes been in weeks,0
LIAR,donald trumps education plan to dramatically slash funding for public education would fire  texas teachers,0
GOSSIP_REAL,hanson brothers compare justin biebers music to chlamydia,1
LIAR,the federal government is spending  percent of our entire economy versus  years ago we spent only  percent,1
GOSSIP_REAL,roseanne canceled at abc following racist tweet,1
GOSSIP_REAL,rhonycs jill zarin drops mario singer bombshell that only makes herself look bad,1
GOSSIP_REAL,hgtv scandals from property brothers to flip or flop photos,1
LIAR,says the media created the term polar vortex and the cold air proves the ice isnt melting,0
GOSSIP_REAL,hide the wine maren morris kelsea ballerini and carly pearce enjoy a country girls night,1
LIAR,says hawaii gov neil abercrombie made a latenight visit to kinkos to forge president barack obamas birth certificate two days before obama unveiled it to the media,0
GOSSIP_REAL,cline dions son is a budding rapper  heres how to listen,1
LIAR,says ted cruzsaid i was in favor in libya i never discussed that subject,0
LIAR,the stock market has almost tripled since april of,1
LIAR,the fl guard has defended our freedom in afghanistan iraq and put their lives at risk now the fed govt is going to cut their pay,1
GOSSIP_FAKE,chris pratt pushed by pals to date jennifer lawrence after anna faris split,0
GOSSIP_REAL,blake shelton wont confirm karma tweet was about miranda lambert calls it a personal thing,1
LIAR,semiautomatic weapons whether pistol or rifle were designed for use by the military on the battlefield,0
GOSSIP_FAKE,meghan markles onscreen dad shades her real father,0
LIAR,i campaigned on the proposals in the budget repair bill for wisconsin all throughout the election anybody who says they are shocked on this has been asleep for the past two years,0
LIAR,the no  cause of childhood deaths is preventable accidents,1
GOSSIP_REAL,brielle biermann attacks kenya moore in vicious twitter rant calls her dumb ugly evil bch,1
LIAR,in harrisburg i passed more bills than all the democrats combined in terms of legislation affecting the city,1
LIAR,on his definition of takers and makers,0
LIAR,rhode island treasurer gina raimondo raised the mortality rate from  to  and used a  annuity chart to create the pension crisis,0
GOSSIP_REAL,this behindthescenes assassination of gianni versace teaser will give you chills,1
GOSSIP_FAKE,selena gomez did not break taylor swift girl code despite report,0
GOSSIP_REAL,celine dion facing ear surgery cancels las vegas concerts,1
GOSSIP_REAL,blake lively shows off pound postbaby weight loss feeling very proud,1
GOSSIP_REAL,mickey mouse helps foster parents tell two kids theyre officially being adopted,1
LIAR,if cory gardner gets his way youd better stock up on condoms,0
POLITIFACT_FAKE,obamas private security company sets up massive camps outside  major cities,0
LIAR,says barack obama endorsed a total ban on the manufacture sale and possession of all handguns,0
LIAR,according to a recent congressional budget office report under obamacare  million people will lose their employersponsored insurance,0
GOSSIP_FAKE,is caitlyn jenner dating someone fake story of affair of caitlyn jenner and boxer yusaf mack scroll to read the spicy story of these two  married biography,0
GOSSIP_REAL,kristen bell thinks dax shepard was trying to make her horny at a bad moms christmas premiere,1
GOSSIP_REAL,top chefs gail simmons gives birth welcomes second child,1
GOSSIP_FAKE,kelsey grammer off wagon food binge fiction,0
LIAR,water rates in manila philippines were raised up to  percent when a subsidiary of the world bank became a partial owner,1
LIAR,says unions take away hardearned money of teachers firefighters and police officers to play politics,0
LIAR,there is no planned airconditioned restaurant out on the lens,1
LIAR,the big wall street banks the big corporations give many times more political donations to democrats than republicans,0
LIAR,barack obama refuses to acknowledge jerusalem as the capital of israel,1
LIAR,we have only one person on the tva board to my knowledge who even has any corporate board experience,1
LIAR,the stories from women saying he groped or forced himself on them largely have been debunked,0
GOSSIP_REAL,exclusive how pippa middleton is prepping for her big wedding to james matthews,1
LIAR,increasing the bottle deposit to  cents on a case of water bottles could literally double the price of that product in the store,0
GOSSIP_REAL,bet hip hop awards,1
GOSSIP_REAL,corinne olympios shuts down demario jackson dating reports were friends so get over it  hxg,1
LIAR,says british voters under  especially millennials overwhelmingly voted to stay in the european union it was older voters who voted to leave,1
LIAR,make no mistake  sherrod brown is one of the main dc politicians responsible for ohio jobs moving to china,0
LIAR,opponent holly benson said that just because youre poor doesnt mean youre unhealthy it just means you have a lot more time to go running,1
LIAR,says that hes responsible for austinincluding anderson mill road in the citys proposed transportation bond package,0
GOSSIP_FAKE,jennifer lopez rearranging schedule to keep eye on alex rodriguez,0
LIAR,you are three times more likely to be able to get a mortgage if youre a white applicant than if youre black or hispanic even if you have the same credentials,0
